player
SP Goswami,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
YK Pathan,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
SE Marsh,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
A Kumble,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
SE Marsh,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
KD Karthik,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
JA Morkel,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
R Vinay Kumar,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
Umar Gul,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
Sohail Tanvir,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
SK Raina,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
CRD Fernando,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
SE Marsh,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
SR Watson,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
M Ntini,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
YK Pathan,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
SR Tendulkar,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
R Dravid,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
DL Vettori,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
RP Singh,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
M Muralitharan,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
CH Gayle,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
AC Gilchrist,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
AB de Villiers,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
YK Pathan,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
RS Bopara,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
PP Ojha,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
TM Dilshan,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
KC Sangakkara,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
HH Gibbs,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
SR Tendulkar,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
YK Pathan,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
MV Boucher,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
KC Sangakkara,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
DP Nannes,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
SK Raina,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
JP Duminy,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
Yuvraj Singh,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
YK Pathan,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
SB Jakati,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
DPMD Jayawardene,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
JH Kallis,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
MS Dhoni,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
GC Smith,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
G Gambhir,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
RG Sharma,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
A Singh,https://static.cricbuzz.com/a/img/v1/1080x608/i1/c22570/virender-sehwag-last-represented-india-in-march-2013.jpg
